,recording_msid,track_metadata.mbid_mapping.recording_mbid,artists,full_artists,full_track_name
0,f3f66741-f73d-4fbf-a80e-a46e63240cf2,7da6f27d-6454-4c2a-b2c2-05b944138e2c,Sleep Theory,Sleep Theory,Afterglow - Sleep Theory
1,b0155224-8f93-47fb-89c7-6eef1f6cb3d8,d23c5d7e-1670-4356-bca6-4512da33f9a0,Wind Walkers,Wind Walkers,Sink Into Me - Wind Walkers
2,ccf23c3a-8a81-481f-b28f-92e67ed6dc42,2c1089da-b4ad-4eb2-8623-593970e4c433,Wind Walkers,Wind Walkers,The Bends - Wind Walkers
3,5b1b5035-0ec8-42f3-8f01-a5a186ba18ff,36dbf0bb-c439-4f99-b4bd-11c8f03d5d5b,Wind Walkers,Wind Walkers,Drowning Hymns - Wind Walkers
4,27e28615-13a7-4601-b3ac-2f10be98e7f6,d42bff45-1634-420a-a8eb-7e52aa1b88c2,Wind Walkers,Wind Walkers,Feeding the Gods - Wind Walkers
5,0956a4b8-863e-4ad7-ab93-fed80983c6c7,7ce36508-48d5-4e94-9251-b23585c8fc19,Dayseeker,Dayseeker,Meet the Reaper - Dayseeker
6,a02b7f45-4185-4ab3-9745-385c9aeccfbb,9e78a65d-6c2b-4590-8dc8-14729d7079f7,Wind Walkers,Wind Walkers,Eating My Heart Out - Wind Walkers
7,d4cc99c4-1b64-4f7f-ac64-581afd8fa36e,82704d01-be95-4d42-8155-bb0a3322c734,Wind Walkers,Wind Walkers,Dissipate - Wind Walkers
8,38d40a2e-f226-4d03-b1e6-ee54779ff661,769c27c1-9987-4337-b4fd-3d0d301a363c,Dayseeker,Dayseeker,The Living Dead - Dayseeker
9,09619b3a-2bad-426f-8a21-170e2ece8afc,522694e6-e9fa-4c23-95c3-eaa802c85b44,Wind Walkers,Wind Walkers,Euphoria (What a Feeling) - Wind Walkers
10,3c4cca53-e11e-4d04-9c19-05930259bd96,9fe166f6-d058-404d-a027-aa3aebb4a7b2,Wind Walkers,Wind Walkers,Hereditary - Wind Walkers
11,8af7e691-a27f-410b-b88a-da44af860aed,028fbea0-6994-483c-8f03-4fa3b3acc70a,Wind Walkers,Wind Walkers,Losing My Color - Wind Walkers
12,154d955e-ccb6-4511-afd4-460cc97209ef,bd9f7083-d8c5-420e-871a-4319a0840e9e,Wind Walkers,Wind Walkers,The Overlook - Wind Walkers
